PassengerId,Age,Pclass,Survived,Sex,Acquaintance,Cabin
163,26.0,3.0,0.0,1.0,0.0,7.0
164,17.0,3.0,0.0,1.0,0.0,7.0
165,1.0,3.0,0.0,1.0,1.0,7.0
166,9.0,3.0,1.0,1.0,1.0,7.0
167,60.0,1.0,1.0,0.0,1.0,4.0
168,45.0,3.0,0.0,0.0,1.0,7.0
169,60.0,1.0,0.0,1.0,0.0,7.0
170,28.0,3.0,0.0,1.0,0.0,7.0
171,61.0,1.0,0.0,1.0,0.0,1.0
172,4.0,3.0,0.0,1.0,1.0,7.0
173,1.0,3.0,1.0,0.0,1.0,7.0
174,21.0,3.0,0.0,1.0,0.0,7.0
175,56.0,1.0,0.0,1.0,0.0,0.0
176,18.0,3.0,0.0,1.0,1.0,7.0
177,60.0,3.0,0.0,1.0,1.0,7.0
178,50.0,1.0,0.0,0.0,0.0,2.0
179,30.0,2.0,0.0,1.0,0.0,7.0
180,36.0,3.0,0.0,1.0,0.0,7.0
181,60.0,3.0,0.0,0.0,1.0,7.0
182,60.0,2.0,0.0,1.0,0.0,7.0
183,9.0,3.0,0.0,1.0,1.0,7.0
184,1.0,2.0,1.0,1.0,1.0,5.0
185,4.0,3.0,1.0,0.0,1.0,7.0
186,60.0,1.0,0.0,1.0,0.0,0.0
187,60.0,3.0,1.0,0.0,1.0,7.0
188,45.0,1.0,1.0,1.0,0.0,7.0
189,40.0,3.0,0.0,1.0,1.0,7.0
190,36.0,3.0,0.0,1.0,0.0,7.0
191,32.0,2.0,1.0,0.0,0.0,7.0
192,19.0,2.0,0.0,1.0,0.0,7.0
193,19.0,3.0,1.0,0.0,1.0,7.0
194,3.0,2.0,1.0,1.0,1.0,5.0
195,44.0,1.0,1.0,0.0,0.0,1.0
196,58.0,1.0,1.0,0.0,0.0,1.0
197,60.0,3.0,0.0,1.0,0.0,7.0
198,42.0,3.0,0.0,1.0,1.0,7.0
199,60.0,3.0,1.0,0.0,0.0,7.0
200,24.0,2.0,0.0,0.0,0.0,7.0
201,28.0,3.0,0.0,1.0,0.0,7.0
202,60.0,3.0,0.0,1.0,1.0,7.0
203,34.0,3.0,0.0,1.0,0.0,7.0
204,46.0,3.0,0.0,1.0,0.0,7.0
205,18.0,3.0,1.0,1.0,0.0,7.0
206,2.0,3.0,0.0,0.0,1.0,6.0
207,32.0,3.0,0.0,1.0,1.0,7.0
208,26.0,3.0,1.0,1.0,0.0,7.0
209,16.0,3.0,1.0,0.0,0.0,7.0
210,40.0,1.0,1.0,1.0,0.0,0.0
211,24.0,3.0,0.0,1.0,0.0,7.0
212,35.0,2.0,1.0,0.0,0.0,7.0
213,22.0,3.0,0.0,1.0,0.0,7.0
214,30.0,2.0,0.0,1.0,0.0,7.0
215,60.0,3.0,0.0,1.0,1.0,7.0
216,31.0,1.0,1.0,0.0,1.0,3.0
217,27.0,3.0,1.0,0.0,0.0,7.0
218,42.0,2.0,0.0,1.0,1.0,7.0
219,32.0,1.0,1.0,0.0,0.0,3.0
220,30.0,2.0,0.0,1.0,0.0,7.0
221,16.0,3.0,1.0,1.0,0.0,7.0
222,27.0,2.0,0.0,1.0,0.0,7.0
223,51.0,3.0,0.0,1.0,0.0,7.0
224,60.0,3.0,0.0,1.0,0.0,7.0
225,38.0,1.0,1.0,1.0,1.0,2.0
226,22.0,3.0,0.0,1.0,0.0,7.0
227,19.0,2.0,1.0,1.0,0.0,7.0
228,21.0,3.0,0.0,1.0,0.0,7.0
229,18.0,2.0,0.0,1.0,0.0,7.0
230,60.0,3.0,0.0,0.0,1.0,7.0
231,35.0,1.0,1.0,0.0,1.0,2.0
232,29.0,3.0,0.0,1.0,0.0,7.0
233,59.0,2.0,0.0,1.0,0.0,7.0
234,5.0,3.0,1.0,0.0,1.0,7.0
235,24.0,2.0,0.0,1.0,0.0,7.0
236,60.0,3.0,0.0,0.0,0.0,7.0
237,44.0,2.0,0.0,1.0,1.0,7.0
238,8.0,2.0,1.0,0.0,1.0,7.0
239,19.0,2.0,0.0,1.0,0.0,7.0
240,33.0,2.0,0.0,1.0,0.0,7.0
241,60.0,3.0,0.0,0.0,1.0,7.0
242,60.0,3.0,1.0,0.0,1.0,7.0
243,29.0,2.0,0.0,1.0,0.0,7.0
244,22.0,3.0,0.0,1.0,0.0,7.0
245,30.0,3.0,0.0,1.0,0.0,7.0
246,44.0,1.0,0.0,1.0,1.0,2.0
247,25.0,3.0,0.0,0.0,0.0,7.0
248,24.0,2.0,1.0,0.0,1.0,7.0
249,37.0,1.0,1.0,1.0,1.0,3.0
250,54.0,2.0,0.0,1.0,1.0,7.0
251,60.0,3.0,0.0,1.0,0.0,7.0
252,29.0,3.0,0.0,0.0,1.0,6.0
253,62.0,1.0,0.0,1.0,0.0,2.0
254,30.0,3.0,0.0,1.0,1.0,7.0
255,41.0,3.0,0.0,0.0,1.0,7.0
256,29.0,3.0,1.0,0.0,1.0,7.0
257,60.0,1.0,1.0,0.0,0.0,7.0
258,30.0,1.0,1.0,0.0,0.0,1.0
259,35.0,1.0,1.0,0.0,0.0,7.0
260,50.0,2.0,1.0,0.0,1.0,7.0
261,60.0,3.0,0.0,1.0,0.0,7.0
262,3.0,3.0,1.0,1.0,1.0,7.0
263,52.0,1.0,0.0,1.0,1.0,4.0
264,40.0,1.0,0.0,1.0,0.0,1.0
265,60.0,3.0,0.0,0.0,0.0,7.0
266,36.0,2.0,0.0,1.0,0.0,7.0
267,16.0,3.0,0.0,1.0,1.0,7.0
268,25.0,3.0,1.0,1.0,1.0,7.0
269,58.0,1.0,1.0,0.0,1.0,2.0
270,35.0,1.0,1.0,0.0,0.0,2.0
271,60.0,1.0,0.0,1.0,0.0,7.0
272,25.0,3.0,1.0,1.0,0.0,7.0
273,41.0,2.0,1.0,0.0,1.0,7.0
274,37.0,1.0,0.0,1.0,1.0,2.0
275,60.0,3.0,1.0,0.0,0.0,7.0
276,63.0,1.0,1.0,0.0,1.0,3.0
277,45.0,3.0,0.0,0.0,0.0,7.0
278,60.0,2.0,0.0,1.0,0.0,7.0
279,7.0,3.0,0.0,1.0,1.0,7.0
280,35.0,3.0,1.0,0.0,1.0,7.0
281,65.0,3.0,0.0,1.0,0.0,7.0
282,28.0,3.0,0.0,1.0,0.0,7.0
283,16.0,3.0,0.0,1.0,0.0,7.0
284,19.0,3.0,1.0,1.0,0.0,7.0
285,60.0,1.0,0.0,1.0,0.0,0.0
286,33.0,3.0,0.0,1.0,0.0,7.0
287,30.0,3.0,1.0,1.0,0.0,7.0
288,22.0,3.0,0.0,1.0,0.0,7.0
289,42.0,2.0,1.0,1.0,0.0,7.0
290,22.0,3.0,1.0,0.0,0.0,7.0
291,26.0,1.0,1.0,0.0,0.0,7.0
292,19.0,1.0,1.0,0.0,1.0,1.0
293,36.0,2.0,0.0,1.0,0.0,3.0
294,24.0,3.0,0.0,0.0,0.0,7.0
295,24.0,3.0,0.0,1.0,0.0,7.0
296,60.0,1.0,0.0,1.0,0.0,7.0
297,24.0,3.0,0.0,1.0,0.0,7.0
298,2.0,1.0,0.0,0.0,1.0,2.0
299,60.0,1.0,1.0,1.0,0.0,2.0
300,50.0,1.0,1.0,0.0,1.0,1.0
301,60.0,3.0,1.0,0.0,0.0,7.0
302,60.0,3.0,1.0,1.0,1.0,7.0
303,19.0,3.0,0.0,1.0,0.0,7.0
304,60.0,2.0,1.0,0.0,0.0,4.0
305,60.0,3.0,0.0,1.0,0.0,7.0
306,1.0,1.0,1.0,1.0,1.0,2.0
307,60.0,1.0,1.0,0.0,0.0,7.0
308,17.0,1.0,1.0,0.0,1.0,2.0
309,30.0,2.0,0.0,1.0,1.0,7.0
310,30.0,1.0,1.0,0.0,0.0,4.0
311,24.0,1.0,1.0,0.0,0.0,2.0
312,18.0,1.0,1.0,0.0,1.0,1.0
313,26.0,2.0,0.0,0.0,1.0,7.0
314,28.0,3.0,0.0,1.0,0.0,7.0
315,43.0,2.0,0.0,1.0,1.0,7.0
316,26.0,3.0,1.0,0.0,0.0,7.0
317,24.0,2.0,1.0,0.0,1.0,7.0
318,54.0,2.0,0.0,1.0,0.0,7.0
319,31.0,1.0,1.0,0.0,1.0,2.0
320,40.0,1.0,1.0,0.0,1.0,4.0
321,22.0,3.0,0.0,1.0,0.0,7.0
322,27.0,3.0,0.0,1.0,0.0,7.0
323,30.0,2.0,1.0,0.0,0.0,7.0
324,22.0,2.0,1.0,0.0,1.0,7.0
325,60.0,3.0,0.0,1.0,1.0,7.0
326,36.0,1.0,1.0,0.0,0.0,2.0
327,61.0,3.0,0.0,1.0,0.0,7.0
328,36.0,2.0,1.0,0.0,0.0,3.0
329,31.0,3.0,1.0,0.0,1.0,7.0
330,16.0,1.0,1.0,0.0,1.0,1.0
331,60.0,3.0,1.0,0.0,1.0,7.0
332,46.0,1.0,0.0,1.0,0.0,2.0
333,38.0,1.0,0.0,1.0,1.0,2.0
334,16.0,3.0,0.0,1.0,1.0,7.0
335,60.0,1.0,1.0,0.0,1.0,7.0
336,60.0,3.0,0.0,1.0,0.0,7.0
337,29.0,1.0,0.0,1.0,1.0,2.0
338,41.0,1.0,1.0,0.0,0.0,4.0
339,45.0,3.0,1.0,1.0,0.0,7.0
340,45.0,1.0,0.0,1.0,0.0,19.0
341,2.0,2.0,1.0,1.0,1.0,5.0
342,24.0,1.0,1.0,0.0,1.0,2.0
343,28.0,2.0,0.0,1.0,0.0,7.0
344,25.0,2.0,0.0,1.0,0.0,7.0
345,36.0,2.0,0.0,1.0,0.0,7.0
346,24.0,2.0,1.0,0.0,0.0,5.0
347,40.0,2.0,1.0,0.0,0.0,7.0
348,60.0,3.0,1.0,0.0,1.0,7.0
349,3.0,3.0,1.0,1.0,1.0,7.0
350,42.0,3.0,0.0,1.0,0.0,7.0
351,23.0,3.0,0.0,1.0,0.0,7.0
352,60.0,1.0,0.0,1.0,0.0,2.0
353,15.0,3.0,0.0,1.0,1.0,7.0
354,25.0,3.0,0.0,1.0,1.0,7.0
355,60.0,3.0,0.0,1.0,0.0,7.0
356,28.0,3.0,0.0,1.0,0.0,7.0
357,22.0,1.0,1.0,0.0,1.0,4.0
358,38.0,2.0,0.0,0.0,0.0,7.0
359,60.0,3.0,1.0,0.0,0.0,7.0
360,60.0,3.0,1.0,0.0,0.0,7.0
361,40.0,3.0,0.0,1.0,1.0,7.0
362,29.0,2.0,0.0,1.0,1.0,7.0
363,45.0,3.0,0.0,0.0,1.0,7.0
364,35.0,3.0,0.0,1.0,0.0,7.0
365,60.0,3.0,0.0,1.0,1.0,7.0
366,30.0,3.0,0.0,1.0,0.0,7.0
367,60.0,1.0,1.0,0.0,1.0,3.0
368,60.0,3.0,1.0,0.0,0.0,7.0
369,60.0,3.0,1.0,0.0,0.0,7.0
370,24.0,1.0,1.0,0.0,0.0,1.0
371,25.0,1.0,1.0,1.0,1.0,4.0
372,18.0,3.0,0.0,1.0,1.0,7.0
373,19.0,3.0,0.0,1.0,0.0,7.0
374,22.0,1.0,0.0,1.0,0.0,7.0
375,3.0,3.0,0.0,0.0,1.0,7.0
376,60.0,1.0,1.0,0.0,1.0,7.0
377,22.0,3.0,1.0,0.0,0.0,7.0
378,27.0,1.0,0.0,1.0,1.0,2.0
379,20.0,3.0,0.0,1.0,0.0,7.0
380,19.0,3.0,0.0,1.0,0.0,7.0
381,42.0,1.0,1.0,0.0,0.0,7.0
382,1.0,3.0,1.0,0.0,1.0,7.0
383,32.0,3.0,0.0,1.0,0.0,7.0
384,35.0,1.0,1.0,0.0,1.0,7.0
385,60.0,3.0,0.0,1.0,0.0,7.0
386,18.0,2.0,0.0,1.0,0.0,7.0
387,1.0,3.0,0.0,1.0,1.0,7.0
388,36.0,2.0,1.0,0.0,0.0,7.0
389,60.0,3.0,0.0,1.0,0.0,7.0
390,17.0,2.0,1.0,0.0,0.0,7.0
391,36.0,1.0,1.0,1.0,1.0,1.0
392,21.0,3.0,1.0,1.0,0.0,7.0
393,28.0,3.0,0.0,1.0,1.0,7.0
394,23.0,1.0,1.0,0.0,1.0,3.0
395,24.0,3.0,1.0,0.0,1.0,6.0
396,22.0,3.0,0.0,1.0,0.0,7.0
397,31.0,3.0,0.0,0.0,0.0,7.0
398,46.0,2.0,0.0,1.0,0.0,7.0
399,23.0,2.0,0.0,1.0,0.0,7.0
400,28.0,2.0,1.0,0.0,0.0,7.0
401,39.0,3.0,1.0,1.0,0.0,7.0
402,26.0,3.0,0.0,1.0,0.0,7.0
403,21.0,3.0,0.0,0.0,1.0,7.0
404,28.0,3.0,0.0,1.0,1.0,7.0
405,20.0,3.0,0.0,0.0,0.0,7.0
406,34.0,2.0,0.0,1.0,1.0,7.0
407,51.0,3.0,0.0,1.0,0.0,7.0
408,3.0,2.0,1.0,1.0,1.0,7.0
409,21.0,3.0,0.0,1.0,0.0,7.0
410,60.0,3.0,0.0,0.0,1.0,7.0
411,60.0,3.0,0.0,1.0,0.0,7.0
412,60.0,3.0,0.0,1.0,0.0,7.0
413,33.0,1.0,1.0,0.0,1.0,2.0
414,60.0,2.0,0.0,1.0,0.0,7.0
415,44.0,3.0,1.0,1.0,0.0,7.0
416,60.0,3.0,0.0,0.0,0.0,7.0
417,34.0,2.0,1.0,0.0,1.0,7.0
418,18.0,2.0,1.0,0.0,1.0,7.0
419,30.0,2.0,0.0,1.0,0.0,7.0
420,10.0,3.0,0.0,0.0,1.0,7.0
421,60.0,3.0,0.0,1.0,0.0,7.0
422,21.0,3.0,0.0,1.0,0.0,7.0
423,29.0,3.0,0.0,1.0,0.0,7.0
424,28.0,3.0,0.0,0.0,1.0,7.0
425,18.0,3.0,0.0,1.0,1.0,7.0
426,60.0,3.0,0.0,1.0,0.0,7.0
427,28.0,2.0,1.0,0.0,1.0,7.0
428,19.0,2.0,1.0,0.0,0.0,7.0
429,60.0,3.0,0.0,1.0,0.0,7.0
430,32.0,3.0,1.0,1.0,0.0,4.0
431,28.0,1.0,1.0,1.0,0.0,2.0
432,60.0,3.0,1.0,0.0,1.0,7.0
433,42.0,2.0,1.0,0.0,1.0,7.0
434,17.0,3.0,0.0,1.0,0.0,7.0
435,50.0,1.0,0.0,1.0,1.0,4.0
436,14.0,1.0,1.0,0.0,1.0,1.0
437,21.0,3.0,0.0,0.0,1.0,7.0
438,24.0,2.0,1.0,0.0,1.0,7.0
439,64.0,1.0,0.0,1.0,1.0,2.0
440,31.0,2.0,0.0,1.0,0.0,7.0
441,45.0,2.0,1.0,0.0,1.0,7.0
442,20.0,3.0,0.0,1.0,0.0,7.0
443,25.0,3.0,0.0,1.0,1.0,7.0
444,28.0,2.0,1.0,0.0,0.0,7.0
445,60.0,3.0,1.0,1.0,0.0,7.0
446,4.0,1.0,1.0,1.0,1.0,0.0
447,13.0,2.0,1.0,0.0,1.0,7.0
448,34.0,1.0,1.0,1.0,0.0,7.0
449,5.0,3.0,1.0,0.0,1.0,7.0
450,52.0,1.0,1.0,1.0,0.0,2.0
451,36.0,2.0,0.0,1.0,1.0,7.0
452,60.0,3.0,0.0,1.0,1.0,7.0
453,30.0,1.0,0.0,1.0,0.0,2.0
454,49.0,1.0,1.0,1.0,1.0,2.0
455,60.0,3.0,0.0,1.0,0.0,7.0
456,29.0,3.0,1.0,1.0,0.0,7.0
457,65.0,1.0,0.0,1.0,0.0,4.0
458,60.0,1.0,1.0,0.0,1.0,3.0
459,50.0,2.0,1.0,0.0,0.0,7.0
460,60.0,3.0,0.0,1.0,0.0,7.0
461,48.0,1.0,1.0,1.0,0.0,4.0
462,34.0,3.0,0.0,1.0,0.0,7.0
463,47.0,1.0,0.0,1.0,0.0,4.0
464,48.0,2.0,0.0,1.0,0.0,7.0
465,60.0,3.0,0.0,1.0,0.0,7.0
466,38.0,3.0,0.0,1.0,0.0,7.0
467,60.0,2.0,0.0,1.0,0.0,7.0
468,56.0,1.0,0.0,1.0,0.0,7.0
469,60.0,3.0,0.0,1.0,0.0,7.0
470,1.0,3.0,1.0,0.0,1.0,7.0
471,60.0,3.0,0.0,1.0,0.0,7.0
472,38.0,3.0,0.0,1.0,0.0,7.0
473,33.0,2.0,1.0,0.0,1.0,7.0
474,23.0,2.0,1.0,0.0,0.0,3.0
475,22.0,3.0,0.0,0.0,0.0,7.0
476,60.0,1.0,0.0,1.0,0.0,0.0
477,34.0,2.0,0.0,1.0,1.0,7.0
478,29.0,3.0,0.0,1.0,1.0,7.0
479,22.0,3.0,0.0,1.0,0.0,7.0
480,2.0,3.0,1.0,0.0,1.0,7.0
481,9.0,3.0,0.0,1.0,1.0,7.0
482,60.0,2.0,0.0,1.0,0.0,7.0
483,50.0,3.0,0.0,1.0,0.0,7.0
484,63.0,3.0,1.0,0.0,0.0,7.0
485,25.0,1.0,1.0,1.0,1.0,1.0
486,60.0,3.0,0.0,0.0,1.0,7.0
487,35.0,1.0,1.0,0.0,1.0,2.0
488,58.0,1.0,0.0,1.0,0.0,1.0
489,30.0,3.0,0.0,1.0,0.0,7.0
490,9.0,3.0,1.0,1.0,1.0,7.0
491,60.0,3.0,0.0,1.0,1.0,7.0
492,21.0,3.0,0.0,1.0,0.0,7.0
493,55.0,1.0,0.0,1.0,0.0,2.0
494,71.0,1.0,0.0,1.0,0.0,7.0
495,21.0,3.0,0.0,1.0,0.0,7.0
496,60.0,3.0,0.0,1.0,0.0,7.0
497,54.0,1.0,1.0,0.0,1.0,3.0
498,60.0,3.0,0.0,1.0,0.0,7.0
499,25.0,1.0,0.0,0.0,1.0,2.0
500,24.0,3.0,0.0,1.0,0.0,7.0
501,17.0,3.0,0.0,1.0,0.0,7.0
502,21.0,3.0,0.0,0.0,0.0,7.0
503,60.0,3.0,0.0,0.0,0.0,7.0
504,37.0,3.0,0.0,0.0,0.0,7.0
505,16.0,1.0,1.0,0.0,0.0,1.0
506,18.0,1.0,0.0,1.0,1.0,2.0
507,33.0,2.0,1.0,0.0,1.0,7.0
508,60.0,1.0,1.0,1.0,0.0,7.0
509,28.0,3.0,0.0,1.0,0.0,7.0
510,26.0,3.0,1.0,1.0,0.0,7.0
511,29.0,3.0,1.0,1.0,0.0,7.0
512,60.0,3.0,0.0,1.0,0.0,7.0
513,36.0,1.0,1.0,1.0,0.0,4.0
514,54.0,1.0,1.0,0.0,1.0,7.0
515,24.0,3.0,0.0,1.0,0.0,7.0
516,47.0,1.0,0.0,1.0,0.0,3.0
517,34.0,2.0,1.0,0.0,0.0,5.0
518,60.0,3.0,0.0,1.0,0.0,7.0
519,36.0,2.0,1.0,0.0,1.0,7.0
520,32.0,3.0,0.0,1.0,0.0,7.0
521,30.0,1.0,1.0,0.0,0.0,1.0
522,22.0,3.0,0.0,1.0,0.0,7.0
523,60.0,3.0,0.0,1.0,0.0,7.0
524,44.0,1.0,1.0,0.0,1.0,1.0
525,60.0,3.0,0.0,1.0,0.0,7.0
526,41.0,3.0,0.0,1.0,0.0,7.0
527,50.0,2.0,1.0,0.0,0.0,7.0
528,60.0,1.0,0.0,1.0,0.0,2.0
529,39.0,3.0,0.0,1.0,0.0,7.0
530,23.0,2.0,0.0,1.0,1.0,7.0
531,2.0,2.0,1.0,0.0,1.0,7.0
532,60.0,3.0,0.0,1.0,0.0,7.0
533,17.0,3.0,0.0,1.0,1.0,7.0
534,60.0,3.0,1.0,0.0,1.0,7.0
535,30.0,3.0,0.0,0.0,0.0,7.0
